英文名称 	中文名称 	类型 	说明
SECCODE	股票代码	VARCHAR	
SECNAME	股票简称	VARCHAR	
DECLAREDATE	公告日期	DATE	
STARTDATE	开始日期	DATE	
ENDDATE	截止日期	DATE	
F001D	报告年度	DATE	
F002V	合并类型编码	VARCHAR	
F003V	合并类型	VARCHAR	
F004V	报表来源编码	VARCHAR	
F005V	报表来源	VARCHAR	
F006N	一、营业收入	DECIMAL	
F007N	利息净收入	DECIMAL	
F008N	其中:利息收入	DECIMAL	
F009N	其中:利息支出	DECIMAL	
F010N	手续费及佣金净收入	DECIMAL	
F011N	其中:手续费及佣金收入	DECIMAL	
F012N	其中:手续费及佣金支出	DECIMAL	
F013N	其中：代理买卖证券业务净收入	DECIMAL	
F014N	其中:证券承销业务净收入　	DECIMAL	
F015N	其中:委托客户管理资产业务净收入	DECIMAL	
F016N	已赚保费	DECIMAL	
F017N	保险业务收入	DECIMAL	
F018N	其中：分保费收入	DECIMAL	
F019N	减：分出保费	DECIMAL	
F020N	提取未到期责任准备金	DECIMAL	
F021N	投资收益	DECIMAL	
F022N	其中：对联营企业和合营企业的投资收益	DECIMAL	
F023N	公允价值变动收益	DECIMAL	
F024N	汇兑收益	DECIMAL	
F063N	资产处置收益	DECIMAL	2018年新增科目
F062N	其它收益	DECIMAL	根据最新会计准则，2017年11月28日增加此字段
F025N	其他业务收入	DECIMAL	
F026N	二、营业支出	DECIMAL	
F027N	退保金	DECIMAL	
F028N	赔付支出	DECIMAL	
F029N	减：摊回赔付支出	DECIMAL	
F030N	提取保险责任准备金	DECIMAL	
F031N	减：摊回保险责任准备金	DECIMAL	
F032N	保单红利支出	DECIMAL	
F033N	分保费用	DECIMAL	
F034N	营业税金及附加	DECIMAL	
F035N	手续费及佣金支出2	DECIMAL	
F036N	业务及管理费	DECIMAL	
F037N	减：摊回分保费用	DECIMAL	
F038N	资产减值损失	DECIMAL	
F039N	其他业务成本	DECIMAL	
F040N	三、营业利润	DECIMAL	
F041N	加：补贴收入	DECIMAL	
F042N	营业外收入	DECIMAL	
F043N	减：营业外支出	DECIMAL	
F044N	加：影响利润总额的其他科目	DECIMAL	
F045N	四、利润总额	DECIMAL	
F046N	减：所得税	DECIMAL	
F047N	加：影响净利润的其他科目	DECIMAL	
F048N	五、净利润	DECIMAL	
F064N	持续经营净利润	DECIMAL	2018年新增科目
F065N	终止经营净利润	DECIMAL	2018年新增科目
F049N	（一）归属于母公司所有者的净利润	DECIMAL	
F050N	（二）少数股东损益	DECIMAL	
F052N	（一）基本每股收益	DECIMAL	
F053N	（二）稀释每股收益	DECIMAL	
F057N	七、其他综合收益	DECIMAL	
F054N	八、综合收益总额	DECIMAL	
F055N	其中：归属于母公司	DECIMAL	
F056N	其中：归属于少数股东	DECIMAL
