英文名称 	中文名称 	类型 	说明
SECCODE	股票代码	VARCHAR	
SECNAME	股票简称	VARCHAR	
DECLAREDATE	公告日期	DATE	
F001V	股票类别编码	VARCHAR	
F002V	股票类别	VARCHAR	
F004N	配股比例	DECIMAL	
F005N	配股价格	DECIMAL	
F006N	预计配股数量	DECIMAL	
F007N	预计募集资金	DECIMAL	
F008N	预计发行费用	DECIMAL	
F009V	承销方式编码	VARCHAR	
F010V	承销方式	VARCHAR	
F011D	股权登记日	DATE	
F012D	除权基准日	DATE	
F013D	配股缴款起始日	DATE	
F014D	配股缴款截止日	DATE	
F017N	实际配股数量	DECIMAL	
F018N	承销余额(股)	DECIMAL	
F019N	实际募资总额	DECIMAL	
F020N	实际募资净额	DECIMAL	
F021N	发行费用总额	DECIMAL	
F022N	承销费用	DECIMAL	
F023D	资金到账日	DATE	
F024N	配股前总股本	DECIMAL	
F025N	配股后总股本	DECIMAL	
F041N	配股前流通股本	DECIMAL	
F042N	配股后流通股本	DECIMAL	
F043N	国家股实配数量	DECIMAL	
F044N	法人股实配数量	DECIMAL	
F045N	职工股实配数量	DECIMAL	
F046N	转配股实配数量	DECIMAL	
F047N	其他股份实配数量	DECIMAL	
F026N	公众股实配数量	DECIMAL	
F027N	大股东认购数量	DECIMAL	
F028V	大股东认购方式	VARCHAR	
F029N	可转配股数量	DECIMAL	
F030N	法人获转配数量	DECIMAL	
F031N	公众获转配数量	DECIMAL	
F032N	每股配权转让费(元)	DECIMAL	
F033V	公众配售代码	VARCHAR	
F034V	公众配售简称	VARCHAR	
F035V	其他配售代码	VARCHAR	
F036V	其他配售简称	VARCHAR	
F037D	上市公告日期	DATE	
F038D	配股上市日	DATE	
F039D	配股权证交易起始日	DATE	
F040D	配股权证交易截止日	DATE	
F048D	配股失败，退还申购款日期	DATE	
F049D	停牌起始日	DATE	
F053D	停牌截止日	DATE	
F050V	配售对象	VARCHAR	
F051V	发行方式	VARCHAR	
F052D	配股发行结果公告日	DATE	
F054V	发行方式编码	VARCHAR	
F055N	委托单位	DECIMAL	
SUBID	记录标识	bigint	对应配股预案表中的SEQID
