英文名称 	中文名称 	类型 	说明
SECCODE	股票代码	VARCHAR	
SECNAME	股票简称	VARCHAR	
STARTDATE	开始日期	DATE	
ENDDATE	截止日期	DATE	
F001D	报告年度	DATE	
F002V	合并类型编码	VARCHAR	
F003V	合并类型	VARCHAR	
F007N	每股未分配利润	DECIMAL(12,4)	单位：元
F008N	营业利润率	DECIMAL(10,3)	营业利润/营业收入*100
F009N	营业税金率	DECIMAL(10,3)	营业税金/营业收入*100
F010N	营业成本率	DECIMAL(10,3)	营业成本/营业收入*100
F011N	净资产收益率	DECIMAL(10,3)	净利润/股东权益*100
F012N	投资收益率	DECIMAL(10,3)	投资收益/(交易性金融资产+可供出售金融资产+持有至到期投资+长期股权投资)*100
F013N	总资产报酬率	DECIMAL(10,3)	净利润/(期末资产总额+期初资产总额)/2*100
F014N	净利润率	DECIMAL(15,3)	净利润/营业收入*100
F015N	管理费用率	DECIMAL(15,3)	管理费用/营业收入*100
F016N	财务费用率	DECIMAL(15,3)	财务费用/营业收入*100
F017N	成本费用利润率	DECIMAL(15,3)	利润总额/成本费用总额×100
F018N	三费比重	DECIMAL(15,3)	（财务费用+管理费用+营业费用）/营业收入*100
F019N	应收账款周转率	DECIMAL(10,3)	营业收入/(期初应收帐款+期末应收帐款)/2
F020N	存货周转率	DECIMAL(10,3)	营业成本/(期初存货+期末存货)/2
F021N	运营资金周转率	DECIMAL(10,3)	营业收入/(期初流动资产-期初流动负债)+(期末流动资产+期末流动负债)/2
F022N	总资产周转率	DECIMAL(10,3)	营业收入/((期初资产总计+期末资产总计)/2)
F023N	固定资产周转率	DECIMAL(10,3)	营业收入/((期初固定资产+期末固定资产)/2)
F024N	应收账款周转天数	DECIMAL(10,3)	360/应收账款周转率 或（期初应收账款+期末应收账款）/2] / 营业收入
F025N	存货周转天数	DECIMAL(10,3)	360/存货周转率；存货周转率=[360*（期初存货+期末存货）/2]/ 营业成本
F026N	流动资产周转率	DECIMAL(10,3)	营业收入/[（期初流动资产+期末流动资产）/2]
F027N	流动资产周转天数	DECIMAL(10,3)	360/流动资产周转率
F028N	总资产周转天数	DECIMAL(10,3)	360/总资产周转率
F028N	股东权益周转率	DECIMAL(10,3)	营业收入*2/(期初股东权益+期末股东权益)
F031N	营业收入增长率	DECIMAL(10,3)	(本期营业收入/上期营业收入-1)*100
F032N	净利润增长率	DECIMAL(15,3)	(本期净利润/上期净利润-1)*100
F033N	净资产增长率	DECIMAL(10,3)	(期末股东权益/期初股东权益-1)*100
F034N	固定资产增长率	DECIMAL(10,3)	(期末固定资产/期初固定资产-1)*100
F035N	总资产增长率	DECIMAL(10,3)	(期末资产总额/期初资产总额-1)*100
F036N	投资收益增长率	DECIMAL(15,3)	(本期投资收益/上期投资收益-1)*100
F037N	营业利润增长率	DECIMAL(10,3)	(本期营业利润/上年同期营业利润-1)*100
F038N	每股现金流量	DECIMAL(10,3)	现金流量净额/股本
F039N	每股经营现金流量	DECIMAL(10,3)	经营现金净流量/股本
F040N	经营净现金比率（短期债务）	DECIMAL(10,3)	经营现金净流量*100/流动负债
F041N	经营净现金比率（全部债务）	DECIMAL(10,3)	经营现金净流量*100/负债总额
F042N	经营活动现金净流量与净利润比率	DECIMAL(10,3)	经营活动现金净流量*100/净利润
F043N	营业收入现金含量	DECIMAL(10,3)	经营活动现金流入量*100/营业收入
F044N	全部资产现金回收率	DECIMAL(10,3)	经营活动现金流量净额*100 /资产总额
F045N	毛利率	DECIMAL(18,2)	毛利率=(年末总营业务收入-年末总营业务成本)/年末总营业务收入*100%
F046N	期间费用率	DECIMAL(18,2)	期间费用率=(年末期间费用/年末营业收入)*100%
F047N	现金转换周期	DECIMAL(18,2)	现金转换周期=存货转换期间+应收账款转换期间
F048N	净利含金量	DECIMAL(18,2)	净利含金量=经营现金净流量/净利润
F049N	期间费用增长率	DECIMAL(18,2)	期间费用增长率=((年末期间费用-上年末期间费用)/上年末期间费用)*100%
F050N	EBIT	DECIMAL(18,2)	基本获利能力=年化总资产息税前经常性收益率(EBIT) EBIT=净利润+所得税+利息
F051N	应收账款占比	DECIMAL(18,2)	应收账款占比=应收账款/总资产
F052N	存货占比	DECIMAL(18,2)	存货占比=存货/总资产
F053N	年化期间费用毛利比	DECIMAL(18,2)	年化期间费用毛利比=期间费用/毛利
