英文名称 	中文名称 	类型 	说明
SECCODE	股票代码	VARCHAR	
SECNAME	股票简称	VARCHAR	
DECLAREDATE	公告日期	DATE	
F001V	股票类别编码	VARCHAR	
F002V	股票类别	VARCHAR	
F004N	总发行数量	DECIMAL	单位：万股；实际总发行量
F005N	公开发行数量	DECIMAL	单位：万股；包括在公开发行数量中；
F008N	每股面值	DECIMAL	
F009N	发行价格(人民币)	DECIMAL	单位：元
F010N	发行价格（外币）	DECIMAL	单位：元
F011V	币种编码	VARCHAR	
F012V	币种	VARCHAR	包括：港币，美元；选择时程序自动将名称同时填入
F013N	竞价上限	DECIMAL	单位：元
F014N	竞价下限	DECIMAL	单位：元
F015V	发行定价方式	VARCHAR	
F016V	老股东配售方式	VARCHAR	
F017N	老股东配售价格	DECIMAL	单位：元
F018N	老股东配售比例	DECIMAL	单位：股，每10股配XX股
F019N	加权发行市盈率	DECIMAL	
F020N	摊薄发行市盈率	DECIMAL	
F021N	发行前每股净资产	DECIMAL	单位：元
F022N	发行后每股净资产	DECIMAL	单位：元
F023N	预计募资金额	DECIMAL	单位：万元
F024N	实际募资总额	DECIMAL	单位：万元
F120N	其中现金	DECIMAL	201110新增
F025N	实际募资净额（人民币）	DECIMAL	单位：万元
F026N	实际募资净额（外币）	DECIMAL	单位：万元；币种同发行价格（外币）
F027N	发行费用总额	DECIMAL	单位：万元
F028N	承销费用	DECIMAL	单位：万元
F029N	每股发行费用	DECIMAL	单位：元
F083V	发行地区	VARCHAR	
F088V	发行地区编码	VARCHAR	
F030V	发行对象	VARCHAR	
F031V	发行方式编码	VARCHAR	
F032V	发行方式	VARCHAR	
F033V	承销方式编码	VARCHAR	
F034V	承销方式	VARCHAR	
F035V	分配承诺	VARCHAR	
F036C	是否除权	CHAR	0-否,1-是
F037D	股权登记日	DATE	
F038D	除权日	DATE	
F041N	发行前总股本	DECIMAL	单位：万股
F042N	发行后总股本	DECIMAL	单位：万股
F079N	发行前流通股本	DECIMAL	单位：万股
F080N	发行后流通股本	DECIMAL	单位：万股
F043D	网上发行日期	DATE	
F044D	网下询价配售开始日	DATE	
F084D	网下询价配售结束日	DATE	
F045D	其他发行日期	DATE	如定向募集发行日期等
F046N	网上申购上限	DECIMAL	单位：万股
F047V	申购代码1	VARCHAR	增发代码
F048V	申购简称1	VARCHAR	
F049V	申购代码2	VARCHAR	
F050V	申购简称2	VARCHAR	
F051N	网上发行中签率	DECIMAL	
F052N	网下发行中签率	DECIMAL	
F053N	起额认购倍数	DECIMAL	如有老股东配售的,则按扣除老股东优先配售后的;如无老股东配售的,则为按有效申购股数据计算的
F057N	网上发行数量	DECIMAL	单位：万股；包括老股优先认购数量
F058N	老股东配售数量	DECIMAL	单位：万股
F059N	网下配售数量	DECIMAL	单位：万股;
F060N	承销余额	DECIMAL	单位：股
F061N	回拨数量	DECIMAL	单位：万股
F062V	回拨方式编码	VARCHAR	
F063V	回拨方式	VARCHAR	包括：网上对网下回拨、网下对网上回拨、老股东优先配售对网上回拨、老股东优先配售对网下回拨；选择时程序自动将名称同时填入
F054N	网上有效申购股数	DECIMAL	单位：亿股，排除向老股东配售部分
F055N	网上有效申购资金	DECIMAL	单位：亿元，排除向老股东配售部分，由程序根据网上有效申购股数*发行价格（人民币）计算生成
F056N	网上有效申购户数	DECIMAL	单位：户，排除向老股东配售部分
F064N	老股东有效申购股数	DECIMAL	单位：亿股,
F065N	老股东有效申购户数	DECIMAL	单位：户
F066N	老股东有效申购资金	DECIMAL	单位：亿元
F067N	网下有效申购户数	DECIMAL	单位：户；
F069N	网下有效申购股数	DECIMAL	单位：亿股;
F085N	网下有效申购资金	DECIMAL	单位：亿元
F068N	一般法人申购数量	DECIMAL	单位：万股;
F070N	一般法人配售数量	DECIMAL	单位：万股；
