英文名称 	中文名称 	类型 	说明
SECCODE	股票代码	VARCHAR	
SECNAME	股票简称	VARCHAR	
STARTDATE	开始日期	DATE	
ENDDATE	截止日期	DATE	
F001V	数据来源编码	VARCHAR	
F002V	数据来源	VARCHAR	
F003N	每股收益	DECIMAL(14,6)	单位：元
F004N	基本每股收益	DECIMAL(14,6)	单位：元
F005N	稀释每股收益	DECIMAL(14,6)	单位：元
F006N	扣除非经常性损益每股收益	DECIMAL(14,6)	单位：元
F007N	每股未分配利润	DECIMAL(12,4)	单位：元
F008N	每股净资产	DECIMAL(12,4)	净资产/股本
F009N	调整后每股净资产	DECIMAL(12,4)	
F010N	每股资本公积金	DECIMAL(12,4)	资本公积/股本
F011N	营业利润率	DECIMAL(10,3)	营业利润/营业收入*100
F012N	营业税金率	DECIMAL(10,3)	营业税金/营业收入*100
F013N	营业成本率	DECIMAL(10,3)	营业成本/营业收入*100
F014N	净资产收益率	DECIMAL(10,3)	净利润/股东权益*100
F015N	投资收益率	DECIMAL(10,3)	投资收益/(交易性金融资产+可供出售金融资产+持有至到期投资+长期股权投资)*100
F016N	总资产报酬率	DECIMAL(10,3)	净利润/(期末资产总额+期初资产总额)/2*100
F017N	净利润率	DECIMAL(15,3)	净利润/营业收入*100
F018N	管理费用率	DECIMAL(15,3)	管理费用/营业收入*100
F019N	财务费用率	DECIMAL(15,3)	财务费用/营业收入*100
F020N	成本费用利润率	DECIMAL(15,3)	利润总额/成本费用总额×100
F021N	三费比重	DECIMAL(15,3)	（财务费用+管理费用+营业费用）/营业收入*100
F022N	应收账款周转率	DECIMAL(10,3)	营业收入/(期初应收帐款+期末应收帐款)/2
F023N	存货周转率	DECIMAL(10,3)	营业成本/(期初存货+期末存货)/2
F024N	运营资金周转率	DECIMAL(10,3)	营业收入/(期初流动资产-期初流动负债)+(期末流动资产+期末流动负债)/2
F025N	总资产周转率	DECIMAL(10,3)	营业收入/((期初资产总计+期末资产总计)/2)
F026N	固定资产周转率	DECIMAL(10,3)	营业收入/((期初固定资产+期末固定资产)/2)
F027N	应收账款周转天数	DECIMAL(10,3)	360/应收账款周转率 或（期初应收账款+期末应收账款）/2] / 营业收入
F028N	存货周转天数	DECIMAL(10,3)	360/存货周转率；存货周转率=[360*（期初存货+期末存货）/2]/ 营业成本
F029N	流动资产周转率	DECIMAL(10,3)	营业收入/[（期初流动资产+期末流动资产）/2]
F030N	流动资产周转天数	DECIMAL(10,3)	360/流动资产周转率
F031N	总资产周转天数	DECIMAL(10,3)	360/总资产周转率
F032N	股东权益周转率	DECIMAL(10,3)	营业收入*2/(期初股东权益+期末股东权益)
F033N	流动资产比率	DECIMAL(10,3)	流动资产/总资产*100
F034N	货币资金比率	DECIMAL(10,3)	货币资金/流动资产*100
F035N	交易性金融资产比率	DECIMAL(10,3)	短期投资/流动资产*100
F036N	存货比率	DECIMAL(10,3)	存货/流动资产*100
F037N	固定资产比率	DECIMAL(10,3)	固定资产/总资产*100
F038N	负债结构比	DECIMAL(15,3)	流动负债/非流动负债*100
F039N	产权比率	DECIMAL(10,3)	负债总额/股东权益*100
F040N	净资产比率	DECIMAL(10,3)	100-资产负债率；净资产/总资产*100
F041N	资产负债比率	DECIMAL(10,3)	负债总额/资产总额*100
F042N	流动比率	DECIMAL(10,3)	流动资产/流动负债
F043N	速动比率	DECIMAL(10,3)	(流动资产-存货)/流动负债
F044N	现金比率	DECIMAL(10,3)	货币资金/流动负债*100
F045N	利息保障倍数	DECIMAL(10,3)	息税前利润/利息费用=(利润总额+财务费用)/财务费用
F046N	营运资金	DECIMAL(18,2)	流动资产-流动负债
F047N	非流动负债比率	DECIMAL(10,3)	（非流动负债/负债合计）*100
F048N	流动负债比率	DECIMAL(10,3)	流动负债/总负债*100
