英文名称 	中文名称 	类型 	说明
SECCODE	股票代码	VARCHAR	
SECNAME	股票简称	VARCHAR	
DECLAREDATE	公告日期	DATE	
F001V	股票类别编码	VARCHAR	
F002V	股票类别	VARCHAR	
F003V	董事会预案内容	VARCHAR	
F004V	股东大会预案内容	VARCHAR	
F005N	配股比例（董）	DECIMAL	
F006N	配股比例（股）	DECIMAL	
F007N	每股面值	DECIMAL	
F008N	配股基准股本	DECIMAL	
F009D	股本基准年度	DATE	
F010N	预计配股价格上限	DECIMAL	
F011N	预计配股价格下限	DECIMAL	
F012V	配股价格确定方式	VARCHAR	
F013N	预计配股数量	DECIMAL	
F014N	预计募集资金	DECIMAL	
F015V	预计募资投向	VARCHAR	
F016V	方案进度编码	VARCHAR	
F017V	方案进度	VARCHAR	
F018D	股东决议公告日期	DATE	
F019D	配股获准公告日期	DATE	
F020V	变更说明	VARCHAR	
SEQID	记录标识	int
