英文名称 	中文名称 	类型 	说明
SECCODE	股票代码	VARCHAR	
SECNAME	股票简称	VARCHAR	
DECLAREDATE	公告日期	DATE	
F001V	股票类别编码	VARCHAR	
F002V	股票类别	VARCHAR	
F003N	每股面值	DECIMAL	
F004N	发行规模(万股)	DECIMAL	
F005V	发行对象	VARCHAR	
F006V	发行定价方式	VARCHAR	
F009N	预计募资金额(万股)	DECIMAL	
F010V	预计募资投向	VARCHAR	
F011V	方案进度编码	VARCHAR	
F012V	方案进度	VARCHAR	
F013D	股东决议公告日期	DATE	
F014D	增发获准公告日期	DATE	
F015V	变更说明	VARCHAR	
F016N	发行价格	DECIMAL	
F017V	发行方式	VARCHAR	
F018D	股东决议有效期截止日	DATE	
F019V	方案状态	VARCHAR	
F020D	终止公告日期	DATE	
SEQID	记录标识	bigint	与公司增发股票实施方案的SUBID关联用
