英文名称 	中文名称 	类型 	说明
SECCODE	股票代码	VARCHAR	
SECNAME	股票简称	VARCHAR	
DECLAREDATE	公告日期	DATE	
ENDDATE	截止日期	DATE	
F001D	报告年度	DATE	
F002V	合并类型编码	VARCHAR	
F003V	合并类型	VARCHAR	
F004V	报表来源编码	VARCHAR	
F005V	报表来源	VARCHAR	
F006N	存放同业款项	DECIMAL	单位：元
F007N	货币资金	DECIMAL	单位：元
F008N	其中：客户资金存款	DECIMAL	单位：元
F009N	现金及存放中央银行款项	DECIMAL	单位：元
F010N	结算备付金	DECIMAL	单位：元
F011N	其中：客户备付金　	DECIMAL	单位：元
F012N	贵金属	DECIMAL	单位：元
F013N	拆出资金	DECIMAL	单位：元
F014N	交易性金融资产	DECIMAL	单位：元
F015N	衍生金融资产	DECIMAL	单位：元
F016N	买入返售金融资产	DECIMAL	单位：元
F096N	应收款项	DECIMAL	单位：元
F017N	应收利息	DECIMAL	单位：元
F018N	应收保费	DECIMAL	单位：元
F019N	应收代位追偿款	DECIMAL	单位：元
F020N	应收分保帐款	DECIMAL	单位：元
F021N	应收分保未到期责任准备金	DECIMAL	单位：元
F022N	应收分保未决赔款准备金	DECIMAL	单位：元
F023N	应收分保寿险责任准备金	DECIMAL	单位：元
F024N	应收分保长期健康险责任准备金	DECIMAL	单位：元
F025N	保户质押贷款	DECIMAL	单位：元
F026N	定期存款	DECIMAL	单位：元
F027N	发放贷款及垫款	DECIMAL	单位：元
F028N	存出保证金	DECIMAL	单位：元
F029N	代理业务资产	DECIMAL	单位：元
F030N	应收款项类投资	DECIMAL	单位：元
F031N	预付款项	DECIMAL	单位：元
F032N	可供出售金融资产	DECIMAL	单位：元
F033N	持有至到期投资	DECIMAL	单位：元
F034N	长期股权投资	DECIMAL	单位：元
F091N	贷款及应收款类金融资产	DECIMAL	单位：元
F035N	存出资本保证金	DECIMAL	单位：元
F036N	投资性房地产	DECIMAL	单位：元
F037N	存货	DECIMAL	单位：元
F038N	固定资产	DECIMAL	单位：元
F039N	在建工程	DECIMAL	单位：元
F040N	无形资产	DECIMAL	单位：元
F041N	其中：交易席位费	DECIMAL	单位：元
F101N	商誉	DECIMAL	单位：元
F042N	长期待摊费用	DECIMAL	单位：元
F043N	固定资产清理	DECIMAL	单位：元
F044N	独立帐户资产	DECIMAL	单位：元
F045N	递延所得税资产	DECIMAL	单位：元
F046N	其他资产	DECIMAL	单位：元
F047N	资产总计	DECIMAL	单位：元
F048N	向中央银行借款	DECIMAL	单位：元
F049N	同业及其他金融机构存放款项	DECIMAL	单位：元
F050N	短期借款	DECIMAL	单位：元
F051N	其中：质押借款	DECIMAL	单位：元
F052N	拆入资金	DECIMAL	单位：元
F053N	交易性金融负债	DECIMAL	单位：元
F054N	衍生金融负债	DECIMAL	单位：元
F055N	卖出回购金融资产款	DECIMAL	单位：元
F056N	吸收存款	DECIMAL	单位：元
F057N	代理买卖证券款	DECIMAL	单位：元
F058N	代理承销证券款	DECIMAL	单位：元
F059N	应付帐款	DECIMAL	单位：元
F060N	应付票据	DECIMAL	单位：元
F061N	预收款项	DECIMAL	单位：元
F062N	预收保费	DECIMAL	单位：元
F063N	应付手续费及佣金	DECIMAL	单位：元
F064N	应付分保帐款	DECIMAL	单位：元
F066N	应付职工薪酬	DECIMAL	单位：元
F065N	应交税费	DECIMAL	单位：元
F067N	应付利息	DECIMAL	单位：元
F068N	代理业务负债	DECIMAL	单位：元
F102N	应付短期融资款	DECIMAL	单位：元
F103N	应付款项	DECIMAL	单位：元
F069N	预计负债	DECIMAL	单位：元
F070N	应付赔付款	DECIMAL	单位：元
F071N	应付保单红利	DECIMAL	单位：元
F072N	保户储金及投资款	DECIMAL	单位：元
F073N	未到期责任准备金	DECIMAL	单位：元
F074N	未决赔款准备金	DECIMAL	单位：元
F075N	寿险责任准备金	DECIMAL	单位：元
F076N	长期健康险责任准备金	DECIMAL	单位：元
F077N	长期借款	DECIMAL	单位：元
F078N	应付债券	DECIMAL	单位：元
F095N	其中：优先股-负债	DECIMAL	单位：元
F079N	独立帐户负债	DECIMAL	单位：元
F080N	递延所得税负债	DECIMAL	单位：元
F081N	其他负债	DECIMAL	单位：元
F082N	负债合计	DECIMAL	单位：元
F083N	实收资本（或股本）	DECIMAL	单位：元
F097N	其他权益工具	DECIMAL	单位：元
F098N	其中：优先股-权益	DECIMAL	单位：元
F099N	永续债-权益	DECIMAL	单位：元
F084N	资本公积	DECIMAL	单位：元
F085N	减：库存股	DECIMAL	单位：元
F100N	其他综合收益	DECIMAL	单位：元
F086N	盈余公积	DECIMAL	单位：元
F087N	一般风险准备	DECIMAL	单位：元
F088N	未分配利润	DECIMAL	单位：元
F090N	外币报表折算差额	DECIMAL	单位：元
F094N	归属于母公司所有者权益	DECIMAL	单位：元
F089N	少数股东权益	DECIMAL	单位：元
F092N	所有者权益（或股东权益）合计	DECIMAL	单位：元
F093N	负债和所有者权益（或股东权益）总计	DECIMAL	单位：元
F108N	合同资产	DECIMAL(18,2)	
F109N	持有待售资产	DECIMAL(18,2)	
F110N	债权投资	DECIMAL(18,2)	
F111N	其他债权投资	DECIMAL(18,2)	
F112N	其他权益工具投资	DECIMAL(18,2)	
F113N	合同负债	DECIMAL(18,2)	
F114N	持有待售负债	DECIMAL(18,2)	
F115N	使用权资产	DECIMAL(18,2)	
F116N	租赁负债	DECIMAL(18,2)
