英文名称 	中文名称 	类型 	说明
SECCODE	股票代码	varchar	
SECNAME	股票简称	varchar	
STARTDATE	开始日期	date	
ENDDATE	截止日期	date	
F001D	报告年度	date	
F002V	合并类型编码	varchar	
F003V	合并类型	varchar	
F006N	销售商品、提供劳务收到的现金	decimal	单位：元
F007N	收到的税费返还	decimal	单位：元
F008N	收到其他与经营活动有关的现金	decimal	单位：元
F009N	经营活动现金流入小计	decimal	单位：元
F010N	购买商品、接受劳务支付的现金	decimal	单位：元
F011N	支付给职工以及为职工支付的现金	decimal	单位：元
F012N	支付的各项税费	decimal	单位：元
F013N	支付其他与经营活动有关的现金	decimal	单位：元
F014N	经营活动现金流出小计	decimal	单位：元
F015N	经营活动产生的现金流量净额	decimal	单位：元
F016N	收回投资收到的现金	decimal	单位：元
F017N	取得投资收益收到的现金	decimal	单位：元
F018N	处置固定资产、无形资产和其他长期资产收回的现金净额	decimal	单位：元
F019N	处置子公司及其他营业单位收到的现金净额	decimal	单位：元
F020N	收到其他与投资活动有关的现金	decimal	单位：元
F021N	投资活动现金流入小计	decimal	单位：元
F022N	购建固定资产、无形资产和其他长期资产支付的现金	decimal	单位：元
F023N	投资支付的现金	decimal	单位：元
F024N	取得子公司及其他营业单位支付的现金净额	decimal	单位：元
F025N	支付其他与投资活动有关的现金	decimal	单位：元
F026N	投资活动现金流出小计	decimal	单位：元
F027N	投资活动产生的现金流量净额	decimal	单位：元
F028N	吸收投资收到的现金	decimal	单位：元
F029N	取得借款收到的现金	decimal	单位：元
F030N	收到其他与筹资活动有关的现金	decimal	单位：元
F031N	筹资活动现金流入小计	decimal	单位：元
F032N	偿还债务支付的现金	decimal	单位：元
F033N	分配股利、利润或偿付利息支付的现金	decimal	单位：元
F034N	支付其他与筹资活动有关的现金	decimal	单位：元
F035N	筹资活动现金流出小计	decimal	单位：元
F036N	筹资活动产生的现金流量净额	decimal	单位：元
F037N	四、汇率变动对现金的影响	decimal	单位：元
F038N	四(2)、其他原因对现金的影响	decimal	单位：元
F039N	五、现金及现金等价物净增加额	decimal	单位：元
F040N	期初现金及现金等价物余额	decimal	单位：元
F041N	期末现金及现金等价物余额	decimal	单位：元
F044N	净利润	decimal	单位：元
F045N	加：资产减值准备	decimal	单位：元
F046N	固定资产折旧、油气资产折耗、生产性生物资产折旧	decimal	单位：元
F047N	无形资产摊销	decimal	单位：元
F048N	长期待摊费用摊销	decimal	单位：元
F049N	处置固定资产、无形资产和其他长期资产的损失	decimal	单位：元
F050N	固定资产报废损失	decimal	单位：元
F051N	公允价值变动损失	decimal	单位：元
F052N	财务费用	decimal	单位：元
F053N	投资损失	decimal	单位：元
F054N	递延所得税资产减少	decimal	单位：元
F055N	递延所得税负债增加	decimal	单位：元
F056N	存货的减少	decimal	单位：元
F057N	经营性应收项目的减少	decimal	单位：元
F058N	经营性应付项目的增加	decimal	单位：元
F059N	其他	decimal	单位：元
F060N	经营活动产生的现金流量净额2	decimal	单位：元
F062N	债务转为资本	decimal	单位：元
F063N	一年内到期的可转换公司债券	decimal	单位：元
F064N	融资租入固定资产	decimal	单位：元
F066N	现金的期末余额	decimal	单位：元
F067N	减：现金的期初余额	decimal	单位：元
F068N	加：现金等价物的期末余额	decimal	单位：元
F069N	减：现金等价物的期初余额	decimal	单位：元
F070N	加：其他原因对现金的影响2	decimal	单位：元
F071N	现金及现金等价物净增加额2	decimal	单位：元
F072N	客户存款和同业存放款项净增加额	decimal	单位：元
F073N	向中央银行借款净增加额	decimal	单位：元
F074N	向其他金融机构拆入资金净增加额	decimal	单位：元
F075N	质押贷款净增加额	decimal	单位：元
F076N	发行债券收到的现金	decimal	单位：元
F077N	收到原保险合同保费取得的现金	decimal	单位：元
F078N	收到再保险业务现金净额	decimal	单位：元
F079N	保户储金及投资款净增加额	decimal	单位：元
F080N	处置以公允价值计量且其变动计入当期损益的金融资产净增加额	decimal	单位：元
F081N	收取利息、手续费及佣金的现金	decimal	单位：元
F082N	拆入资金净增加额	decimal	单位：元
F083N	回购业务资金净增加额	decimal	单位：元
F084N	客户贷款及垫款净增加额	decimal	单位：元
F085N	存放中央银行和同业款项净增加额	decimal	单位：元
F086N	支付原保险合同赔付款项的现金	decimal	单位：元
F087N	支付利息、手续费及佣金的现金	decimal	单位：元
F088N	支付保单红利的现金	decimal	单位：元
F089N	其中：子公司吸收少数股东投资收到的现金	decimal	单位：元
F090N	其中：子公司支付给少数股东的股利、利润	decimal	单位：元
F091N	投资性房地产的折旧及摊销	decimal	单位：元
