英文名称 	中文名称 	类型 	说明
SECNAME	股票简称	varchar	
SECCODE	股票代码	varchar	
DECLAREDATE	公告日期	date	
ENDDATE	截止日期	date	
F001D	报告年度	date	
F002V	合并类型编码	varchar	
F003V	合并类型	varchar	
F004V	报表来源编码	varchar	
F005V	报表来源	varchar	
F006N	货币资金	decimal	单位：元
F077N	结算备付金	decimal	单位：元
F078N	拆出资金	decimal	单位：元
F007N	以公允价值计量且其变动计入当期损益的金融资产(20190322弃用)	decimal	单位：元
F080N	衍生金融资产	decimal	单位：元
F008N	应收票据	decimal	单位：元
F009N	应收账款	decimal	单位：元
F010N	预付款项	decimal	单位：元
F081N	应收保费	decimal	单位：元
F082N	应收分保账款	decimal	单位：元
F083N	应收分保合同准备金	decimal	单位：元
F013N	其中：应收利息	decimal	单位：元
F014N	其中：应收股利	decimal	单位：元
F011N	其他应收款	decimal	单位：元
F012N	应收关联公司款	decimal	单位：元
F084N	买入返售金融资产	decimal	单位：元
F015N	存货	decimal	单位：元
F016N	其中：消耗性生物资产	decimal	单位：元
F085N	划分为持有待售的资产	decimal	单位：元
F079N	发放贷款及垫款-流动资产	decimal	单位：元
F017N	一年内到期的非流动资产	decimal	单位：元
F117N	交易性金融资产	DECIMAL(18,2)	单位：元
F118N	应收票据及应收账款	DECIMAL(18,2)	单位：元
F119N	合同资产	DECIMAL(18,2)	单位：元
F018N	其他流动资产	decimal	单位：元
F019N	流动资产合计	decimal	单位：元
F086N	发放贷款及垫款-非流动资产	decimal	单位：元
F020N	可供出售金融资产	decimal	单位：元
F021N	持有至到期投资	decimal	单位：元
F022N	长期应收款	decimal	单位：元
F023N	长期股权投资	decimal	单位：元
F024N	投资性房地产	decimal	单位：元
F025N	固定资产	decimal	单位：元
F026N	在建工程	decimal	单位：元
F027N	工程物资	decimal	单位：元
F028N	固定资产清理	decimal	单位：元
F029N	生产性生物资产	decimal	单位：元
F030N	油气资产	decimal	单位：元
F031N	无形资产	decimal	单位：元
F032N	开发支出	decimal	单位：元
F033N	商誉	decimal	单位：元
F034N	长期待摊费用	decimal	单位：元
F035N	递延所得税资产	decimal	单位：元
F116N	债权投资	DECIMAL(18,2)	单位：元
F110N	其他债权投资	DECIMAL(18,2)	单位：元
F111N	其他权益工具投资	DECIMAL(18,2)	单位：元
F112N	其他非流动金融资产	DECIMAL(18,2)	单位：元
F036N	其他非流动资产	decimal	单位：元
F037N	非流动资产合计	decimal	单位：元
F038N	资产总计	decimal	单位：元
F039N	短期借款	decimal	单位：元
F087N	向中央银行借款	decimal	单位：元
F088N	吸收存款及同业存放	decimal	单位：元
F089N	拆入资金	decimal	单位：元
F040N	以公允价值计量且其变动计入当期损益的金融负债（20190322弃用）	decimal	单位：元
F090N	衍生金融负债	decimal	单位：元
F041N	应付票据	decimal	单位：元
F042N	应付账款	decimal	单位：元
F043N	预收款项	decimal	单位：元
F091N	卖出回购金融资产款	decimal	单位：元
F092N	应付手续费及佣金	decimal	单位：元
F044N	应付职工薪酬	decimal	单位：元
F045N	应交税费	decimal	单位：元
F046N	其中：应付利息	decimal	单位：元
F047N	其中：应付股利	decimal	单位：元
F048N	其他应付款	decimal	单位：元
F049N	应付关联公司款	decimal	单位：元
F093N	应付分保账款	decimal	单位：元
F094N	保险合同准备金	decimal	单位：元
F095N	代理买卖证券款	decimal	单位：元
F096N	代理承销证券款	decimal	单位：元
F097N	划分为持有待售的负债	decimal	单位：元
F050N	一年内到期的非流动负债	decimal	单位：元
F098N	预计负债-流动负债	decimal	单位：元
F099N	递延收益-流动负债	decimal	单位：元
F113N	交易性金融负债	DECIMAL(18,2)	单位：元
F114N	应付票据及应付账款	DECIMAL(18,2)	单位：元
F115N	合同负债	DECIMAL(18,2)	单位：元
F051N	其他流动负债	decimal	单位：元
F052N	流动负债合计	decimal	单位：元
F053N	长期借款	decimal	单位：元
F054N	应付债券	decimal	单位：元
F100N	其中：优先股-非流动负债	decimal	单位：元
F101N	永续债-非流动负债	decimal	单位：元
F055N	长期应付款	decimal	单位：元
F102N	长期应付职工薪酬	decimal	单位：元
F056N	专项应付款	decimal	单位：元
F057N	预计负债	decimal	单位：元
F075N	递延收益-非流动负债	decimal	单位：元
F058N	递延所得税负债	decimal	单位：元
F059N	其他非流动负债	decimal	单位：元
F060N	非流动负债合计	decimal	单位：元
F061N	负债合计	decimal	单位：元
F062N	实收资本（或股本）	decimal	单位：元
F103N	其他权益工具	decimal	单位：元
F104N	其中：优先股-所有者权益	decimal	单位：元
F105N	永续债-所有者权益	decimal	单位：元
F063N	资本公积	decimal	单位：元
F066N	减：库存股	decimal	单位：元
F074N	其他综合收益	decimal	单位：元
F072N	专项储备	decimal	单位：元
F064N	盈余公积	decimal	单位：元
F076N	一般风险准备	decimal	单位：元
F065N	未分配利润	decimal	单位：元
F068N	外币报表折算价差	decimal	单位：元
F073N	归属于母公司所有者权益	decimal	单位：元
F067N	少数股东权益	decimal	单位：元
F069N	非正常经营项目收益调整	decimal	单位：元
F070N	所有者权益（或股东权益）合计	decimal	单位：元
F071N	负债和所有者（或股东权益）合计	decimal	单位：元
MEMO	备注	varchar	
F120N	应收款项融资	decimal(18,2)	2019年8月新增
F121N	使用权资产	decimal(18,2)	2019年8月新增
F122N	租赁负债	decimal(18,2)	2019年8月新增
