英文名称 	中文名称 	类型 	说明
SECCODE	股票代码	VARCHAR	
SECNAME	股票简称	VARCHAR	
F001V	股票类别编码	VARCHAR	
F002V	股票类别	VARCHAR	
F003N	总发行数量	DECIMAL	
F004N	公开发行数量	DECIMAL	
F005N	其中：国有股减持数量	DECIMAL	
F072N	定向募集法人股	DECIMAL	
F073N	定向募集职工股	DECIMAL	
F006N	其他发行数量	DECIMAL	
F007N	每股面值	DECIMAL	
F008N	发行价格（人民币）	DECIMAL	
F009N	发行价格（外币）	DECIMAL	
F010V	外币币种编码	VARCHAR	
F011V	外币币种	VARCHAR	
F012N	加权发行市盈率	DECIMAL	
F013N	摊薄发行市盈率	DECIMAL	
F014N	发行前每股净资产	DECIMAL	
F015N	发行后每股净资产	DECIMAL	
F016V	发行定价方式	VARCHAR	
F017N	询价上限	DECIMAL	
F018N	询价下限	DECIMAL	
F019V	发行对象	VARCHAR	
F020V	发行方式编码	VARCHAR	
F021V	发行方式	VARCHAR	
F022V	承销方式编码	VARCHAR	
F023V	承销方式	VARCHAR	
F074V	发行地区	VARCHAR	
F080V	发行地区编码	VARCHAR	
F024V	主要发起人	VARCHAR	
F025V	分配承诺	VARCHAR	
F026N	预计募集资金	DECIMAL	
F027N	实际募资总额	DECIMAL	
F028N	实际募资净额(人民币)	DECIMAL	
F029N	实际募资净额(外币)	DECIMAL	
F030N	发行费用总额	DECIMAL	
F031N	承销费用	DECIMAL	
F032N	每股发行费用	DECIMAL	
F034D	招股公告日期	DATE	
F075D	市值计算日	DATE	
F035D	上网发行日期	DATE	
F036D	二级市场配售日期	DATE	
F071D	网下配售起始日	DATE	
F076D	网下配售截止日	DATE	
F037D	其他发行日期	DATE	
F038V	申购代码1	VARCHAR	
F039V	申购简称1	VARCHAR	
F040V	申购代码2	VARCHAR	
F041V	申购简称2	VARCHAR	
F042N	网上申购上限	DECIMAL	
F043N	上网发行数量	DECIMAL	
F044N	二级市场配售数量	DECIMAL	
F045N	网下配售数量	DECIMAL	
F046N	回拨数量	DECIMAL	
F047V	回拨方式编码	VARCHAR	
F048V	回拨方式	VARCHAR	
F049N	承销余额	DECIMAL	
F050N	上网发行中签率	DECIMAL	
F051N	二级市场配售发行中签率	DECIMAL	
F052N	网下配售中签率	DECIMAL	
F053N	超额认购倍数	DECIMAL	
F054N	网上有效申购股数(亿股)	DECIMAL	
F055N	网上有效申购户数(户)	DECIMAL	
F056N	网上有效申购资金(亿元)	DECIMAL	
F057N	二级配售有效申购股数(亿股)	DECIMAL	
F058N	二级配售有效申购户数(户)	DECIMAL	
F059N	二级配售有效申购资金(亿元)	DECIMAL	
F077N	网下有效申购股数(亿股)	DECIMAL	
F078N	网下有效申购户数(户)	DECIMAL	
F079N	网下有效申购资金(亿元)	DECIMAL	
F063N	一般法人有效申购股数	DECIMAL	
F064N	一般法人获配数量	DECIMAL	
F065N	一般法人获配户数	DECIMAL	
F060N	战略投资者有效申购股数	DECIMAL	
F061N	战略投资者获配数量	DECIMAL	
F062N	战略投资者获配户数	DECIMAL	
F066N	证券基金有效申购数量	DECIMAL	
F067N	证券基金获配数量	DECIMAL	
F068N	证券基金获配户数	DECIMAL	
F069D	上市公告日期	DATE	
F070D	资金到帐日	DATE	
F081N	战略投资者锁定期	DECIMAL	
F082C	是否累计询价	CHAR	
F083D	现场推介起始日	DATE	
F084D	现场推介截止日	DATE	
F085D	网上路演起始日	DATE	
F086V	申购价格范围	VARCHAR	
F087D	初步询价开始日期	DATE	
F088D	初步询价截止日期	DATE	
F089D	发行价格区间公告日期	DATE	
F090D	网下冻结资金返还日期	DATE	
F091D	网上冻结资金返还日期	DATE	
F092D	定价公告日期	DATE	
F093N	网下投资者锁定期	DECIMAL	
F094N	预计发行股数	DECIMAL	
F095N	网上预设发行数量比例	DECIMAL	
F096N	网下预设发行数量比例	DECIMAL	
F097N	网上申购下限	DECIMAL	
F098N	网下申购上限	DECIMAL	
F099N	网下申购下限	DECIMAL	
F100N	网下申购单位	DECIMAL	
F101N	网上申购单位	DECIMAL	
F102D	网下申购截止日	DATE	
F103V	招股意向书网址	VARCHAR	
F104N	网上预设发行数量	DECIMAL	
F105N	网下预设发行数量	DECIMAL	
F106N	网下超额认购倍数	DECIMAL	
F107N	战略投资者发行量比例	DECIMAL	
F108D	摇号结果公告日	DATE	
F109D	中签率公告日	DATE	
F110C	是否行使超额配售权	CHAR	
F111N	超额配售数量	DECIMAL	
F112N	初步询价超额认购倍数	DECIMAL	
F113N	预计新增发行数量上限	DECIMAL	
F114N	预计老股东转让数量上限	DECIMAL	
F115N	预计战略配售数量上限	DECIMAL	
F116N	战略投资者配售数量	DECIMAL	
F117N	老股东转让数量	DECIMAL	
F118N	发行费用总额2	DECIMAL	
F119N	老股东转让发行费用	DECIMAL	
F121N	网下申购剔除比例	DECIMAL	
F122N	网下申购剔除价格下限	DECIMAL	
F123V	IPO阶段进展状态	VARCHAR	
F124V	IPO阶段进展状态编码	VARCHAR	
SEQID	记录标识	bigint	与发行机构及承销或资金投资项目计划关联用，没有其它用途
